bench,nr,möbel,kant,pris,orsak,rubrik
b2,10,Mio matgrupp,billigast,62.0,bunt,Moa Matgrupp Med 4 Stolar Köksbord Klaffbord Från MIO
b2,10,Mio matgrupp,billigast,67.0,bunt,Mio Matgrupp Bord och 6 stolar
b2,10,Mio matgrupp,billigast,83.0,bunt,Matgrupp i Ek - 6 stolar
b2,11,Matgrupp byCrea,dyrast,230000.0,bunt,Mio matgrupp med vitrinskåp
b2,11,Matgrupp byCrea,dyrast,67000.0,tillbehör,"FÖR KNOLL INTERNATIONAL, MATGRUPP, ""TULIP"" 6 DELAR. eero saarinen"
b2,11,Matgrupp byCrea,dyrast,65000.0,bunt,komplett heminredning soffa säng matgrupp
b2,11,Matgrupp byCrea,dyrast,55000.0,bunt,Miss Holly bord stolar Stolab matgrupp
b2,11,Matgrupp byCrea,dyrast,49000.0,bunt,soffgrupp/ Matgrupp
b2,11,Matgrupp byCrea,billigast,10.0,bunt,"3-4 sitts Soffa med Twist, Matgrupp 6 stolar"
b2,11,Matgrupp byCrea,billigast,10.0,bunt,"Matgrupp med bord och två vitrinskåp i trä, vit/ek från Xxxlutz"
b2,11,Matgrupp byCrea,billigast,50.0,bunt,"MATGRUPP, MASSIV ASK, SPECIALBESTÄLLD TILLVERKNING, 1900-TAL, BORD SAMT 4 STOLAR."
b2,11,Matgrupp byCrea,billigast,50.0,bunt,"MATGRUPP, BORD MED 4 STOLAR, 1900-TAL."
b2,11,Matgrupp byCrea,billigast,50.0,bunt,"MATGRUPP ""AXET"" BORD MED 4 STOLAR, 2 ILÄGGSKIVOR, 1900-TAL."
b2,13,Ikea skotterud,dyrast,9500.0,bunt,"160 cm säng med förvaring, IKEA Skotterud med madrass &amp; ra"
b2,13,Ikea skotterud,dyrast,6490.0,bunt,IKEA säng Skotterud med tillhörande madrass Tustna 120 cm
b2,13,Ikea skotterud,dyrast,6000.0,bunt,Rustik sängstomme + två IKEA Skotterud 90x200 madrasser
b2,13,Ikea skotterud,dyrast,6000.0,bunt,Rustik sängstomme + två IKEA Skotterud 90x200 madrasser
b2,13,Ikea skotterud,dyrast,6000.0,bunt,Ikea Skotterud säng med Tussöy bäddmadrass
